"","town","per_capita_crime","rl_twentyfive_k_sqft","nonr_biz_acres","nox_concentration","avg_num_rooms","owner_live_built_prefourties","dis_five_employ_center","index_accesibility_hway","prop_tax_per_ten_k","stu_teach_ratio","lower_stat_percent","median_val_owner_occupied_thousands"
"town",1,0.406743673035826,-0.316229932855871,0.602774998045425,0.5827845177004,-0.101632792457467,0.434502336177005,-0.502902409618834,0.646584847911076,0.705961188515107,0.418541316015387,0.409645434466249,-0.331119106474644
"per_capita_crime",0.406743673035826,1,-0.19862149596986,0.405523822119189,0.420523792439138,-0.139012918422844,0.350846887666695,-0.377027857399955,0.625964329753295,0.583388503161117,0.276695482895169,0.405029695802865,-0.38007199249316
"rl_twentyfive_k_sqft",-0.316229932855871,-0.19862149596986,1,-0.534342834671843,-0.516541012768962,0.24053906619588,-0.567841304307891,0.665737816511528,-0.307371994911573,-0.311748344175923,-0.393310455155214,-0.389852788031114,0.339625227785991
"nonr_biz_acres",0.602774998045425,0.405523822119189,-0.534342834671843,1,0.763582594744211,-0.268957469371157,0.642816953430735,-0.707886057222322,0.591784079461433,0.718764139788776,0.379440718394889,0.556706729146686,-0.463269055600789
"nox_concentration",0.5827845177004,0.420523792439138,-0.516541012768962,0.763582594744211,1,-0.199350408410176,0.729233093377663,-0.768309495912807,0.609342810130819,0.66698176997746,0.18607302997301,0.540049908355136,-0.411485887485716
"avg_num_rooms",-0.101632792457467,-0.139012918422844,0.24053906619588,-0.268957469371157,-0.199350408410176,1,-0.191653044490415,0.121295874148002,-0.123777014448836,-0.184374687658342,-0.258222227951782,-0.41961427500967,0.52042313246347
"owner_live_built_prefourties",0.434502336177005,0.350846887666695,-0.567841304307891,0.642816953430735,0.729233093377663,-0.191653044490415,1,-0.745096644711956,0.452228766233324,0.503360230746412,0.25825057191807,0.529994296356337,-0.368203449351378
"dis_five_employ_center",-0.502902409618834,-0.377027857399955,0.665737816511528,-0.707886057222322,-0.768309495912807,0.121295874148002,-0.745096644711956,1,-0.488474156151007,-0.530379328696448,-0.238155177785508,-0.467062776300133,0.233469315194214
"index_accesibility_hway",0.646584847911076,0.625964329753295,-0.307371994911573,0.591784079461433,0.609342810130819,-0.123777014448836,0.452228766233324,-0.488474156151007,1,0.910211434635662,0.438646059479486,0.422388757314741,-0.379015921158974
"prop_tax_per_ten_k",0.705961188515107,0.583388503161117,-0.311748344175923,0.718764139788776,0.66698176997746,-0.184374687658342,0.503360230746412,-0.530379328696448,0.910211434635662,1,0.440962166626925,0.482088132615466,-0.459274024998214
"stu_teach_ratio",0.418541316015387,0.276695482895169,-0.393310455155214,0.379440718394889,0.18607302997301,-0.258222227951782,0.25825057191807,-0.238155177785508,0.438646059479486,0.440962166626925,1,0.393263019631979,-0.447464014042177
"lower_stat_percent",0.409645434466249,0.405029695802865,-0.389852788031114,0.556706729146686,0.540049908355136,-0.41961427500967,0.529994296356337,-0.467062776300133,0.422388757314741,0.482088132615466,0.393263019631979,1,-0.562960293817378
"median_val_owner_occupied_thousands",-0.331119106474644,-0.38007199249316,0.339625227785991,-0.463269055600789,-0.411485887485716,0.52042313246347,-0.368203449351378,0.233469315194214,-0.379015921158974,-0.459274024998214,-0.447464014042177,-0.562960293817378,1
