"","town","per_capita_crime","rl_twentyfive_k_sqft","nonr_biz_acres","nox_concentration","avg_num_rooms","owner_live_built_prefourties","dis_five_employ_center","index_accesibility_hway","prop_tax_per_ten_k","stu_teach_ratio","lower_stat_percent","median_val_owner_occupied_thousands"
"town",0,0.0000000000000000000291252491954063,0.0000000000047242119911764,4.65361809372369e-50,5.02487133147482e-46,0.0215750608590839,0.0000000000000000000000241529633445026,0.0000000000000000000000000000000207331069166077,5.34943487965085e-60,1.97300207565331e-76,0.00000000000000000000155903048945682,0.0000000000000000000144553190176611,0.000000000000307070626118997
"per_capita_crime",0.000000000000000000000882583308951706,0,0.0000503894507662097,0.0000000000000000000383114830952817,0.000000000000000000000979940222777594,0.00652988278963919,0.00000000000000662861186526566,0.0000000000000000251425149886397,4.01947924091156e-55,3.88855688224287e-46,0.0000000031422442641594,0.0000000000000000000419784434133168,0.0000000000000000141518505861608
"rl_twentyfive_k_sqft",0.000000000000248642736377705,0.00000606657187208918,0,2.55128240810745e-37,0.000000000000000000000000000000000176146054344718,0.000000442561254613157,3.51655728958056e-43,6.94940774319394e-65,0.0000000000206162067004206,0.0000000000100440192002317,0.000000000000000000710221059900507,0.00000000000000000150896627820657,0.0000000000000612669187515398
"nonr_biz_acres",7.27127827144326e-52,0.00000000000000000000119723384672755,4.55586144304901e-39,0,7.15930798145095e-97,0.0000000096642257984493,4.39865657090338e-59,4.99735430772758e-77,8.41374596793596e-48,1.60453520191149e-80,0.0000000000000000157416557656767,3.66288446635328e-41,0.00000000000000000000000000692317518796178
"nox_concentration",8.2374939860243e-48,0.0000000000000000000000257879005994104,3.38742412201382e-36,9.42014208085651e-99,0,0.0000503894507662097,4.82269233881928e-84,8.34568904165569e-99,1.9014649239136e-51,3.29463477769686e-65,0.000138381177155552,2.86582421213085e-38,0.00000000000000000000932851548417244
"avg_num_rooms",0.0215750608590839,0.0016324706974098,0.0000000368801045510964,0.00000000064428171989662,0.00000559882786291219,0,0.000090104533060178,0.0152385373202881,0.0152385373202881,0.000138381177155552,0.0000000439014475504508,0.00000000000000000000121085186728905,4.38939066322646e-35
"owner_live_built_prefourties",0.000000000000000000000000603824083612565,0.000000000000000301300539330257,5.8609288159676e-45,6.56515906104983e-61,6.51715180921524e-86,0.000012872076151454,0,1.03794595878087e-89,0.000000000000000000000000175644779005847,0.0000000000000000000000000000000180591732150483,0.0000000439014475504508,1.28275696154884e-36,0.000000000000000172189334820003
"dis_five_employ_center",0.000000000000000000000000000000000414662138332155,0.00000000000000000104760479119332,1.00716054249188e-66,6.94076987184386e-79,1.08385571969554e-100,0.00604447093668476,1.38392794504117e-91,0,0.00000000000000000000000000000260922166691256,1.12987725737225e-36,0.000000557247108771872,0.00000000000000000000000000223020861599882,0.000000936282451132203
"index_accesibility_hway",7.86681599948655e-62,6.09012006198722e-57,0.00000000000121271804120121,1.33551523300571e-49,2.92533065217477e-53,0.00507951244009603,0.00000000000000000000000000399192679558742,0.0000000000000000000000000000000532494217737258,0,4.08435770960757e-195,0.00000000000000000000000786290039072977,0.000000000000000000000615630953578461,0.0000000000000000166756842235158
"prop_tax_per_ten_k",2.77887616289198e-78,6.2718659391014e-48,0.00000000000055800106667954,2.19799342727601e-82,4.70662111099552e-67,0.0000274506798411499,0.000000000000000000000000000000000354101435589182,2.05432228613136e-38,5.23635603795842e-197,0,0.00000000000000000000000421337280540013,0.0000000000000000000000000000203834196662168,0.0000000000000000000000000224863842692055
"stu_teach_ratio",0.0000000000000000000000433064024849115,0.000000000196390266509962,0.0000000000000000000236740353300169,0.000000000000000000605448298679873,0.0000230635295259253,0.00000000314868785478831,0.00000000313581768217506,0.0000000506588280701702,0.000000000000000000000000191778058310482,0.000000000000000000000000100318400128575,0,0.000000000000000000710221059900507,0.000000000000000000000000681068038876862
"lower_stat_percent",0.000000000000000000000425156441695914,0.00000000000000000000135414333591344,0.0000000000000000000538916527930918,6.31531804543669e-43,5.02776177566816e-40,0.0000000000000000000000327257261429472,2.37547585472007e-38,0.000000000000000000000000000047451247148911,0.0000000000000000000000157854090661144,0.000000000000000000000000000000424654576379516,0.0000000000000000000239442901674362,0,2.74947076576602e-42
"median_val_owner_occupied_thousands",0.0000000000000153535313059498,0.000000000000000000524142614302252,0.00000000000000291747232150189,0.000000000000000000000000000150503808433952,0.000000000000000000000266529013833498,8.28186917589898e-37,0.00000000000000000748649281826101,0.0000000936282451132203,0.000000000000000000667027368940631,0.000000000000000000000000000499697428204566,0.0000000000000000000000000158387916017875,4.6601199419763e-44,0
